facility_id,facility_name,facility_type,city,state,latitude,longitude,dock_doors,operating_hours
FAC00001,Houston Distribution Center,CROSS-DOCK,Houston,TX,29.7604,-95.3698,125,24/7
FAC00002,Kansas City Hub,CROSS-DOCK,Kansas City,MO,39.0997,-94.5786,33,7AM-7PM
FAC00003,Charlotte Distribution Center,DISTRIBUTION CENTER,Charlotte,NC,35.2271,-80.8431,138,24/7
FAC00004,Chicago Distribution Center,DISTRIBUTION CENTER,Chicago,IL,41.8781,-87.6298,38,8AM-5PM
FAC00005,Indianapolis Hub,DISTRIBUTION CENTER,Indianapolis,IN,39.7684,-86.1581,56,8AM-5PM
FAC00006,Atlanta Warehouse,DISTRIBUTION CENTER,Atlanta,GA,33.749,-84.388,149,8AM-5PM
FAC00007,Detroit Warehouse,TERMINAL,Detroit,MI,42.3314,-83.0458,44,24/7
FAC00008,Philadelphia Hub,CROSS-DOCK,Philadelphia,PA,39.9526,-75.1652,110,8AM-5PM
FAC00009,Nashville Distribution Center,TERMINAL,Nashville,TN,36.1627,-86.7816,115,6AM-10PM
FAC00010,Indianapolis Distribution Center,WAREHOUSE,Indianapolis,IN,39.7684,-86.1581,92,6AM-10PM
FAC00011,Nashville Distribution Center,CROSS-DOCK,Nashville,TN,36.1627,-86.7816,125,8AM-5PM
FAC00012,Atlanta Distribution Center,DISTRIBUTION CENTER,Atlanta,GA,33.749,-84.388,16,8AM-5PM
FAC00013,Nashville Distribution Center,DISTRIBUTION CENTER,Nashville,TN,36.1627,-86.7816,55,8AM-5PM
FAC00014,Indianapolis Warehouse,DISTRIBUTION CENTER,Indianapolis,IN,39.7684,-86.1581,126,8AM-5PM
FAC00015,Phoenix Distribution Center,TERMINAL,Phoenix,AZ,33.4484,-112.074,61,24/7
FAC00016,Detroit Hub,DISTRIBUTION CENTER,Detroit,MI,42.3314,-83.0458,126,24/7
FAC00017,Omaha Distribution Center,CROSS-DOCK,Omaha,NE,41.2565,-95.9345,33,6AM-10PM
FAC00018,Dallas Distribution Center,CROSS-DOCK,Dallas,TX,32.7767,-96.797,74,7AM-7PM
FAC00019,Houston Warehouse,WAREHOUSE,Houston,TX,29.7604,-95.3698,92,6AM-10PM
FAC00020,Nashville Terminal,CROSS-DOCK,Nashville,TN,36.1627,-86.7816,51,24/7
FAC00021,Las Vegas Terminal,DISTRIBUTION CENTER,Las Vegas,NV,36.1699,-115.1398,41,6AM-10PM
FAC00022,New York Distribution Center,CROSS-DOCK,New York,NY,40.7128,-74.006,33,6AM-10PM
FAC00023,Portland Warehouse,CROSS-DOCK,Portland,OR,45.5152,-122.6784,39,24/7
FAC00024,Denver Distribution Center,TERMINAL,Denver,CO,39.7392,-104.9903,125,7AM-7PM
FAC00025,Oklahoma City Terminal,CROSS-DOCK,Oklahoma City,OK,35.4676,-97.5164,102,24/7
FAC00026,Atlanta Warehouse,WAREHOUSE,Atlanta,GA,33.749,-84.388,31,6AM-10PM
FAC00027,Philadelphia Hub,CROSS-DOCK,Philadelphia,PA,39.9526,-75.1652,144,24/7
FAC00028,Las Vegas Hub,TERMINAL,Las Vegas,NV,36.1699,-115.1398,108,7AM-7PM
FAC00029,Miami Warehouse,TERMINAL,Miami,FL,25.7617,-80.1918,140,7AM-7PM
FAC00030,Detroit Hub,CROSS-DOCK,Detroit,MI,42.3314,-83.0458,50,24/7
FAC00031,Los Angeles Warehouse,CROSS-DOCK,Los Angeles,CA,34.0522,-118.2437,106,24/7
FAC00032,Miami Distribution Center,TERMINAL,Miami,FL,25.7617,-80.1918,150,24/7
FAC00033,Miami Distribution Center,DISTRIBUTION CENTER,Miami,FL,25.7617,-80.1918,107,8AM-5PM
FAC00034,Charlotte Terminal,CROSS-DOCK,Charlotte,NC,35.2271,-80.8431,21,6AM-10PM
FAC00035,Phoenix Distribution Center,TERMINAL,Phoenix,AZ,33.4484,-112.074,53,6AM-10PM
FAC00036,Omaha Distribution Center,CROSS-DOCK,Omaha,NE,41.2565,-95.9345,95,7AM-7PM
FAC00037,Portland Terminal,TERMINAL,Portland,OR,45.5152,-122.6784,48,6AM-10PM
FAC00038,Salt Lake City Warehouse,DISTRIBUTION CENTER,Salt Lake City,UT,40.7608,-111.891,51,8AM-5PM
FAC00039,Charlotte Distribution Center,WAREHOUSE,Charlotte,NC,35.2271,-80.8431,47,7AM-7PM
FAC00040,Nashville Distribution Center,CROSS-DOCK,Nashville,TN,36.1627,-86.7816,55,24/7
FAC00041,Milwaukee Distribution Center,CROSS-DOCK,Milwaukee,WI,43.0389,-87.9065,23,24/7
FAC00042,Salt Lake City Terminal,WAREHOUSE,Salt Lake City,UT,40.7608,-111.891,117,7AM-7PM
FAC00043,Atlanta Warehouse,WAREHOUSE,Atlanta,GA,33.749,-84.388,88,7AM-7PM
FAC00044,Las Vegas Terminal,CROSS-DOCK,Las Vegas,NV,36.1699,-115.1398,89,7AM-7PM
FAC00045,Houston Hub,DISTRIBUTION CENTER,Houston,TX,29.7604,-95.3698,124,8AM-5PM
FAC00046,Los Angeles Distribution Center,CROSS-DOCK,Los Angeles,CA,34.0522,-118.2437,83,24/7
FAC00047,Milwaukee Hub,WAREHOUSE,Milwaukee,WI,43.0389,-87.9065,56,8AM-5PM
FAC00048,Indianapolis Warehouse,TERMINAL,Indianapolis,IN,39.7684,-86.1581,40,24/7
FAC00049,Dallas Distribution Center,DISTRIBUTION CENTER,Dallas,TX,32.7767,-96.797,43,7AM-7PM
FAC00050,Detroit Hub,CROSS-DOCK,Detroit,MI,42.3314,-83.0458,61,8AM-5PM
