route_id,origin_city,origin_state,destination_city,destination_state,typical_distance_miles,base_rate_per_mile,fuel_surcharge_rate,typical_transit_days,ingestion_timestamp
RTE00036,Las Vegas,NV,Los Angeles,CA,262.0,2.63,0.33,1,2026-08-26 08:07:41.139174
RTE00003,Chicago,IL,Los Angeles,CA,2003.0,2.55,0.29,3,2026-08-26 08:07:41.139174
RTE00031,Denver,CO,Kansas City,MO,640.0,2.19,0.29,1,2026-08-26 08:07:41.139174
RTE00039,Minneapolis,MN,Atlanta,GA,1044.0,2.08,0.33,1,2026-08-26 08:07:41.139174
RTE00050,Columbus,OH,Kansas City,MO,712.0,1.94,0.24,1,2026-08-26 08:07:41.139174
RTE00052,Memphis,TN,Minneapolis,MN,804.0,1.63,0.34,1,2026-08-26 08:07:41.139174
RTE00019,Houston,TX,Detroit,MI,1271.0,2.33,0.32,2,2026-08-26 08:07:41.139174
RTE00024,Miami,FL,Philadelphia,PA,1175.0,2.48,0.32,2,2026-08-26 08:07:41.139174
RTE00033,Portland,OR,Seattle,WA,167.0,2.42,0.24,1,2026-08-26 08:07:41.139174
RTE00005,Chicago,IL,Las Vegas,NV,1749.0,2.41,0.26,3,2026-08-26 08:07:41.139174
RTE00014,Phoenix,AZ,Kansas City,MO,1204.0,2.14,0.19,2,2026-08-26 08:07:41.139174
RTE00043,Charlotte,NC,Denver,CO,1559.0,1.55,0.16,2,2026-08-26 08:07:41.139174
RTE00049,Columbus,OH,Minneapolis,MN,720.0,2.62,0.2,1,2026-08-26 08:07:41.139174
RTE00021,Houston,TX,Portland,OR,2108.0,2.45,0.28,3,2026-08-26 08:07:41.139174
RTE00042,Charlotte,NC,Seattle,WA,2623.0,2.39,0.18,4,2026-08-26 08:07:41.139174
RTE00051,Memphis,TN,Los Angeles,CA,1840.0,1.85,0.25,3,2026-08-26 08:07:41.139174
RTE00056,Kansas City,MO,Portland,OR,1718.0,2.47,0.18,2,2026-08-26 08:07:41.139174
RTE00010,New York,NY,Philadelphia,PA,92.0,1.61,0.17,1,2026-08-26 08:07:41.139174
RTE00012,Phoenix,AZ,Philadelphia,PA,2389.0,2.71,0.19,4,2026-08-26 08:07:41.139174
RTE00027,Detroit,MI,Houston,TX,1271.0,2.02,0.33,2,2026-08-26 08:07:41.139174
RTE00054,Kansas City,MO,Los Angeles,CA,1557.0,2.01,0.19,2,2026-08-26 08:07:41.139174
RTE00001,Atlanta,GA,Chicago,IL,677.0,1.7,0.19,1,2026-08-26 08:07:41.139174
RTE00044,Charlotte,NC,Portland,OR,2627.0,2.69,0.31,4,2026-08-26 08:07:41.139174
RTE00004,Chicago,IL,Portland,OR,2017.0,1.84,0.19,3,2026-08-26 08:07:41.139174
RTE00025,Miami,FL,Seattle,WA,3141.0,1.65,0.18,5,2026-08-26 08:07:41.139174
RTE00047,Columbus,OH,Philadelphia,PA,476.0,2.06,0.16,1,2026-08-26 08:07:41.139174
RTE00053,Kansas City,MO,Atlanta,GA,777.0,2.35,0.27,1,2026-08-26 08:07:41.139174
RTE00011,New York,NY,Columbus,OH,547.0,1.69,0.24,1,2026-08-26 08:07:41.139174
RTE00020,Houston,TX,Seattle,WA,2172.0,1.77,0.34,3,2026-08-26 08:07:41.139174
RTE00026,Miami,FL,Denver,CO,1984.0,1.72,0.28,3,2026-08-26 08:07:41.139174
RTE00029,Seattle,WA,Charlotte,NC,2623.0,2.47,0.34,4,2026-08-26 08:07:41.139174
RTE00038,Las Vegas,NV,Kansas City,MO,1311.0,2.71,0.24,2,2026-08-26 08:07:41.139174
RTE00015,Philadelphia,PA,New York,NY,92.0,2.79,0.15,1,2026-08-26 08:07:41.139174
RTE00041,Minneapolis,MN,Houston,TX,1216.0,2.75,0.21,2,2026-08-26 08:07:41.139174
RTE00046,Columbus,OH,Los Angeles,CA,2269.0,2.74,0.22,3,2026-08-26 08:07:41.139174
RTE00023,Miami,FL,Dallas,TX,1276.0,2.33,0.17,2,2026-08-26 08:07:41.139174
RTE00032,Portland,OR,Detroit,MI,2259.0,1.99,0.2,3,2026-08-26 08:07:41.139174
RTE00048,Columbus,OH,Portland,OR,2332.0,2.69,0.34,4,2026-08-26 08:07:41.139174
RTE00002,Atlanta,GA,Miami,FL,697.0,2.08,0.22,1,2026-08-26 08:07:41.139174
RTE00013,Phoenix,AZ,Denver,CO,673.0,1.7,0.21,1,2026-08-26 08:07:41.139174
RTE00018,Philadelphia,PA,Indianapolis,IN,670.0,2.07,0.28,1,2026-08-26 08:07:41.139174
RTE00037,Las Vegas,NV,New York,NY,2561.0,1.52,0.21,4,2026-08-26 08:07:41.139174
RTE00055,Kansas City,MO,Miami,FL,1429.0,2.51,0.25,2,2026-08-26 08:07:41.139174
RTE00057,Kansas City,MO,Charlotte,NC,921.0,2.45,0.3,1,2026-08-26 08:07:41.139174
RTE00008,Dallas,TX,Denver,CO,762.0,2.62,0.15,1,2026-08-26 08:07:41.139174
RTE00009,Dallas,TX,Indianapolis,IN,878.0,1.95,0.17,1,2026-08-26 08:07:41.139174
RTE00016,Philadelphia,PA,Seattle,WA,2729.0,2.5,0.17,4,2026-08-26 08:07:41.139174
